City,Country,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Water (1.5 liter bottle),Cappuccino (regular),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Average Monthly Net Salary (After Tax),Cost of Living Index,Purchasing Power Index,Safety Index,Health Care Index,Pollution Index,AvgTemperature,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Lat,Long,Population,Overall Score,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,Apple Store,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival
Kelowna,Canada,,,,,,,,,,,0.45,0.58,0.5,0.75,0.22,,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,49.8881,-119.4956,142146.0,,,,,,,,,,,,,,,,,
Spokane,United States,,,,,,,,,,,0.49,0.59,0.46,0.64,0.2,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,47.6671,-117.433,412275.0,,,,,,,,,,,,,,,,,
Graz,Austria,,,,,,,,,,,0.53,0.49,0.74,0.78,0.37,,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,47.0667,15.4333,289440.0,87.3,7.8,0.2,0.6,6.7,4.9,8.0,4.6,7.7,4.3,4.4,2.8,6.4,4.2,9.3,6.4,9.0
Sacramento,United States,,,,,,,,,,,0.51,0.68,0.51,0.7,0.45,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,38.5667,-121.4683,1898019.0,,,,,,,,,,,,,,,,,
Albuquerque,United States,,,,,,,,,,,0.44,0.69,0.3,0.67,0.25,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,35.1053,-106.6464,761195.0,,,,,,,,,,,,,,,,,
Cork,Ireland,,,,,,,,,,,0.57,0.48,0.66,0.58,0.24,,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,51.9,-8.4731,208669.0,78.5,3.3,7.4,2.3,5.2,0.8,6.0,6.9,2.7,4.3,2.0,9.5,10.0,4.4,0.6,3.2,9.9
Halifax,Canada,,,,,,,,,,,0.51,0.54,0.6,0.7,0.23,,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,44.6475,-63.5906,403131.0,,,,,,,,,,,,,,,,,
Leeds,United Kingdom,,,,,,,,,,,0.44,0.6,0.58,0.83,0.46,,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,53.7997,-1.5492,1901934.0,,,,,,,,,,,,,,,,,
Pittsburgh,United States,,,,,,,,,,,0.53,0.67,0.62,0.75,0.45,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,40.4396,-79.9762,1703266.0,,,,,,,,,,,,,,,,,
Stuttgart,Germany,,,,,,,,,,,0.48,0.63,0.71,0.72,0.45,,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,48.7761,9.1775,634830.0,,,,,,,,,,,,,,,,,
Orlando,United States,,,,,,,,,,,0.46,0.64,0.48,0.62,0.36,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,28.4772,-81.3369,1822394.0,,,,,,,,,,,,,,,,,
Denver,United States,,,,,,,,,,,0.49,0.78,0.57,0.69,0.43,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.7621,-104.8759,2876625.0,82.1,7.3,9.3,3.8,1.8,5.5,3.0,1.6,9.7,7.7,6.0,4.0,4.0,6.9,0.6,5.6,5.3
Anchorage,United States,,,,,,,,,,,0.61,0.72,0.37,0.61,0.17,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,61.1508,-149.1091,247949.0,,,,,,,,,,,,,,,,,
Salt Lake City,United States,,,,,,,,,,,0.43,0.84,0.68,0.71,0.63,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,40.7777,-111.9306,1098526.0,,,,,,,,,,,,,,,,,
Atlanta,United States,,,,,,,,,,,0.51,0.8,0.38,0.67,0.45,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,33.7627,-84.4224,5449398.0,,,,,,,,,,,,,,,,,
Washington,United States,,,,,,,,,,,0.56,0.75,0.42,0.71,0.39,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,38.9047,-77.0163,5379184.0,,,,,,,,,,,,,,,,,
Mangalore,India,,,,,,,,,,,0.16,0.36,0.75,0.77,0.39,,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,12.8703,74.8806,623841.0,,,,,,,,,,,,,,,,,
Mississauga,Canada,,,,,,,,,,,0.48,0.57,0.58,0.71,0.24,,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,43.6,-79.65,721599.0,,,,,,,,,,,,,,,,,
Oakland,United States,,,,,,,,,,,0.6,0.62,0.36,0.79,0.35,,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,37.7903,-122.2165,433031.0,,,,,,,,,,,,,,,,,
Cologne,Germany,,,,,,,,,,,0.48,0.59,0.57,0.75,0.41,,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,50.9422,6.9578,1085664.0,100.8,6.6,4.8,0.9,6.6,8.8,5.0,7.3,3.7,8.2,2.6,9.0,6.0,8.8,9.8,6.3,6.4
Cleveland,United States,,,,,,,,,,,0.5,0.53,0.35,0.83,0.37,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.4767,-81.6804,1710093.0,,,,,,,,,,,,,,,,,
Honolulu,United States,,,,,,,,,,,0.64,0.51,0.56,0.72,0.37,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,21.3294,-157.846,820987.0,,,,,,,,,,,,,,,,,
Bristol,United Kingdom,,,,,,,,,,,0.5,0.49,0.59,0.74,0.45,,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,51.45,-2.5833,724000.0,92.5,5.8,5.3,0.2,5.6,0.3,6.5,6.6,5.7,9.4,9.5,7.0,5.0,8.4,7.0,4.0,6.2
Doha,Qatar,,,,,,,,,,,0.43,0.59,0.88,0.73,0.6,1.0,,,,,,,25.3,51.5333,1312947.0,,,,,,,,,,,,,,,,,
Baltimore,United States,,,,,,,,,,,0.49,0.68,0.25,0.77,0.5,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.3051,-76.6144,2106068.0,,,,,,,,,,,,,,,,,
Antwerp,Belgium,,,,,,,,,,,0.53,0.52,0.63,0.81,0.61,,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,51.2211,4.3997,529247.0,101.1,6.2,4.4,2.7,7.0,7.8,5.5,2.7,8.3,8.4,7.2,6.5,6.6,6.1,8.0,6.1,7.6
Miami,United States,,,,,,,,,,,0.52,0.56,0.47,0.63,0.39,,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,25.7839,-80.2102,6445545.0,,,,,,,,,,,,,,,,,
Regina,Canada,,,,,,,,,,,0.48,0.64,0.47,0.68,0.37,1.0,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,50.4547,-104.6067,215106.0,,,,,,,,,,,,,,,,,
Lyon,France,,,,,,,,,,,0.55,0.49,0.55,0.77,0.51,,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,45.76,4.84,516092.0,100.8,2.2,5.5,7.4,4.7,9.8,10.0,1.7,8.0,9.7,8.5,7.6,3.0,6.7,7.6,1.7,6.7
Milwaukee,United States,,,,,,,,,,,0.54,0.52,0.31,0.66,0.3,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,43.0642,-87.9673,1365787.0,,,,,,,,,,,,,,,,,
Manchester,United Kingdom,,,,,,,,,,,0.48,0.58,0.44,0.78,0.53,,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,53.4794,-2.2453,2705000.0,95.5,4.1,2.7,5.3,7.2,5.2,7.0,7.4,5.2,9.6,9.5,7.0,5.0,5.3,4.0,4.7,6.3
Haifa,Israel,,,,,,,,,,,0.57,0.51,0.73,0.74,0.75,,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,32.8,34.9833,281087.0,,,,,,,,,,,,,,,,,
Birmingham,United Kingdom,,,,,,,,,,,0.47,0.5,0.4,0.74,0.5,1.0,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,52.48,-1.9025,2897303.0,90.5,2.0,3.1,2.9,7.8,1.7,6.5,8.0,5.8,6.4,9.5,7.0,5.0,7.6,6.0,6.0,5.2
Riyadh,Saudi Arabia,,,,,,,,,,,0.35,0.57,0.73,0.65,0.65,1.0,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,24.65,46.71,6881000.0,,,,,,,,,,,,,,,,,
Sharjah,United Arab Emirates,,,,,,,,,,,0.35,0.53,0.84,0.6,0.49,,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,25.3575,55.3919,1400000.0,,,,,,,,,,,,,,,,,
Limassol,Cyprus,,,,,,,,,,,0.47,0.33,0.67,0.49,0.55,,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,34.675,33.0443,235056.0,,,,,,,,,,,,,,,,,
Jeddah,Saudi Arabia,,,,,,,,,,,0.34,0.48,0.7,0.58,0.69,,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,21.5428,39.1728,3976000.0,,,,,,,,,,,,,,,,,
Nizhniy Novgorod,Russia,,,,,,,,,,,0.23,0.22,0.68,0.76,0.34,,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,56.3269,44.0075,1264075.0,,,,,,,,,,,,,,,,,
Philadelphia,United States,,,,,,,,,,,0.53,0.57,0.38,0.69,0.52,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,40.0077,-75.1339,5649300.0,73.2,5.7,7.9,6.2,2.4,5.0,3.0,1.5,7.2,5.8,6.0,4.0,4.0,5.4,0.6,5.5,3.0
Bologna,Italy,,,,,,,,,,,0.51,0.36,0.55,0.79,0.54,,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,44.4939,11.3428,388367.0,65.4,4.8,2.3,3.4,7.7,1.1,9.0,4.9,2.2,9.0,1.0,3.0,3.3,2.4,1.0,2.8,7.5
Brasília,Brazil,,,,,,,,,,,0.23,0.33,0.38,0.49,0.34,1.0,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,-15.7744,-48.0773,3015268.0,,,,,,,,,,,,,,,,,
Islamabad,Pakistan,,,,,,,,,,,0.16,0.19,0.71,0.64,0.43,1.0,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,33.6989,73.0369,1365000.0,,,,,,,,,,,,,,,,,
Nicosia,Cyprus,,,,,,,,,,,0.46,0.38,0.67,0.52,0.65,,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,35.1725,33.365,330000.0,,,,,,,,,,,,,,,,,
Manama,Bahrain,,,,,,,,,,,0.39,0.33,0.78,0.67,0.61,1.0,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,26.2167,50.5831,157474.0,,,,,,,,,,,,,,,,,
Curitiba,Brazil,,,,,,,,,,,0.2,0.18,0.37,0.66,0.32,,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,-25.4297,-49.2719,1879355.0,,,,,,,,,,,,,,,,,
Thiruvananthapuram,India,,,,,,,,,,,0.14,0.43,0.6,0.56,0.56,,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,8.5,76.8997,743691.0,,,,,,,,,,,,,,,,,
Pretoria,South Africa,,,,,,,,,,,0.3,0.5,0.18,0.67,0.56,,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843,-25.7464,28.1881,741651.0,,,,,,,,,,,,,,,,,
Campinas,Brazil,,,,,,,,,,,0.23,0.24,0.34,0.61,0.45,,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,-22.9009,-47.0573,1164098.0,,,,,,,,,,,,,,,,,
San Juan,Puerto Rico,,,,,,,,,,,0.48,0.49,0.31,0.6,0.51,,,,,,,,18.4037,-66.0636,331165.0,,,,,,,,,,,,,,,,,
Turin,Italy,,,,,,,,,,,0.49,0.39,0.5,0.67,0.71,,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,45.0667,7.7,870952.0,,,,,,,,,,,,,,,,,
Nur-Sultan,Kazakhstan,,,,,,,,,,,0.22,0.27,0.66,0.67,0.47,,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,51.1333,71.4333,1078362.0,,,,,,,,,,,,,,,,,
Coimbatore,India,,,,,,,,,,,0.16,0.24,0.61,0.72,0.62,,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,11.0,76.9667,959823.0,,,,,,,,,,,,,,,,,
Detroit,United States,,,,,,,,,,,0.46,0.48,0.27,0.63,0.58,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,42.3834,-83.1024,3506126.0,,,,,,,,,,,,,,,,,
Medellín,Colombia,,,,,,,,,,,0.21,0.18,0.49,0.76,0.63,,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,6.2447,-75.5748,2529403.0,72.0,1.6,2.6,0.4,9.8,2.5,5.3,10.0,1.1,4.3,3.8,5.0,2.4,1.0,9.8,9.9,2.6
Porto Alegre,Brazil,,,,,,,,,,,0.21,0.2,0.25,0.62,0.56,,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,-30.0328,-51.23,1484941.0,,,,,,,,,,,,,,,,,
Kuwait City,Kuwait,,,,,,,,,,,0.33,0.44,0.68,0.59,0.67,1.0,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,29.375,47.98,637411.0,,,,,,,,,,,,,,,,,
Lahore,Pakistan,,,,,,,,,,,0.15,0.17,0.6,0.65,0.79,,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,31.5497,74.3436,11021000.0,,,,,,,,,,,,,,,,,
Belo Horizonte,Brazil,,,,,,,,,,,0.21,0.16,0.36,0.63,0.53,,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,-19.8917,-43.9478,5159000.0,,,,,,,,,,,,,,,,,
Guatemala City,Guatemala,,,,,,,,,,,0.31,0.17,0.38,0.62,0.72,1.0,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,14.6099,-90.5252,2450212.0,,,,,,,,,,,,,,,,,
Dnipro,Ukraine,,,,,,,,,,,0.19,0.21,0.47,0.51,0.82,,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,48.45,34.9833,983836.0,,,,,,,,,,,,,,,,,
Shenzhen,China,,,,,,,,,,,0.34,0.36,0.67,0.58,0.63,,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,22.535,114.054,15929000.0,,,,,,,,,,,,,,,,,
Karachi,Pakistan,,,,,,,,,,,0.15,0.18,0.46,0.58,0.9,1.0,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,24.86,67.01,14835000.0,,,,,,,,,,,,,,,,,
Recife,Brazil,,,,,,,,,,,0.21,0.14,0.24,0.62,0.7,,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,-8.0539,-34.8808,1555039.0,,,,,,,,,,,,,,,,,
Caracas,Venezuela,,,,,,,,,,,0.34,0.1,0.15,0.39,0.74,1.0,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,10.5,-66.9333,1943901.0,,,,,,,,,,,,,,,,,
Rio de Janeiro,Brazil,,,,,,,,,,,0.22,0.16,0.22,0.44,0.67,1.0,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,-22.9083,-43.1964,12272000.0,70.8,6.9,1.2,1.6,6.8,3.0,0.6,7.6,1.2,4.9,7.4,1.6,2.8,7.8,8.8,7.7,0.9
Dhaka,Bangladesh,,,,,,,,,,,0.23,0.15,0.35,0.41,0.93,,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,23.7161,90.3961,15443000.0,,,,,,,,,,,,,,,,,
Lagos,Nigeria,,,,,,,,,,,0.24,0.07,0.35,0.47,0.88,1.0,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,6.45,3.4,15279000.0,,,,,,,,,,,,,,,,,
Tehran,Iran,,,,,,,,,,,0.27,0.1,0.46,0.53,0.82,,9.813719749,0.694689691,66.00614929,0.647873282,0.117891103,0.714635968,35.7,51.4167,13633000.0,,,,,,,,,,,,,,,,,
Algiers,Algeria,,,,,,,,,,,,,,,,1.0,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,36.7764,3.0586,3415811.0,,,,,,,,,,,,,,,,,
Nassau,Bahamas,,,,,,,,,,,,,,,,1.0,,,,,,,25.0667,-77.3333,274400.0,,,,,,,,,,,,,,,,,
Belize City,Belize,,,,,,,,,,,,,,,,1.0,,,,,,,17.4986,-88.1886,57169.0,,,,,,,,,,,,,,,,,
Cotonou,Benin,,,,,,,,,,,,,,,,1.0,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,6.4,2.52,762000.0,,,,,,,,,,,,,,,,,
La Paz,Bolivia,,,,,,,,,,,,,,,,1.0,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,-16.4942,-68.1475,2867504.0,,,,,,,,,,,,,,,,,
Bangui,Central African Republic,,,,,,,,,,,,,,,,1.0,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,4.3732,18.5628,734350.0,,,,,,,,,,,,,,,,,
Chengdu,China,,,,,,,,,,,,,,,,1.0,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,30.6636,104.0667,11309000.0,,,,,,,,,,,,,,,,,
Guangzhou,China,,,,,,,,,,,,,,,,1.0,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,23.1288,113.259,20902000.0,,,,,,,,,,,,,,,,,
Shenyang,China,,,,,,,,,,,,,,,,1.0,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,41.8039,123.4258,7105000.0,,,,,,,,,,,,,,,,,
Brazzaville,Congo,,,,,,,,,,,,,,,,1.0,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079,-4.2667,15.2833,1827000.0,,,,,,,,,,,,,,,,,
Havana,Cuba,,,,,,,,,,,,,,,,1.0,,,,,,,23.1367,-82.3589,2141652.0,,,,,,,,,,,,,,,,,
Guayaquil,Ecuador,,,,,,,,,,,,,,,,1.0,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,-2.1833,-79.8833,2723665.0,,,,,,,,,,,,,,,,,
Addis Ababa,Ethiopia,,,,,,,,,,,,,,,,1.0,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004,9.0272,38.7369,3041002.0,,,,,,,,,,,,,,,,,
Bordeaux,France,,,,,,,,,,,,,,,,1.0,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,44.84,-0.58,257804.0,94.7,1.9,6.1,5.2,5.4,7.7,10.0,2.4,3.5,9.8,8.5,7.6,3.0,5.7,8.5,2.5,6.9
Libreville,Gabon,,,,,,,,,,,,,,,,1.0,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956,0.3901,9.4544,797003.0,,,,,,,,,,,,,,,,,
Banjul,Gambia,,,,,,,,,,,,,,,,1.0,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,0.690717816,13.4531,-16.5775,31356.0,,,,,,,,,,,,,,,,,
Conakry,Guinea,,,,,,,,,,,,,,,,1.0,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448,9.5092,-13.7122,1667864.0,,,,,,,,,,,,,,,,,
Bissau,Guinea-Bissau,,,,,,,,,,,,,,,,1.0,,,,,,,11.8592,-15.5956,395954.0,,,,,,,,,,,,,,,,,
Port-au-Prince,Haiti,,,,,,,,,,,,,,,,1.0,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246,18.5425,-72.3386,987310.0,,,,,,,,,,,,,,,,,
Tegucigalpa,Honduras,,,,,,,,,,,,,,,,1.0,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,14.0942,-87.2067,1126534.0,,,,,,,,,,,,,,,,,
Abidjan,Côte d'Ivoire,,,,,,,,,,,,,,,,1.0,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.790771961,5.3364,-4.0267,4980000.0,,,,,,,,,,,,,,,,,
Ōsaka,Japan,,,,,,,,,,,,,,,,1.0,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,34.6936,135.5019,14977000.0,56.9,8.5,0.7,6.5,6.3,0.9,7.8,1.1,1.3,4.5,0.9,0.5,2.0,2.0,6.0,7.2,0.7
Sapporo,Japan,,,,,,,,,,,,,,,,1.0,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,43.0621,141.3544,1958756.0,,,,,,,,,,,,,,,,,
Bishkek,Kyrgyzstan,,,,,,,,,,,,,,,,1.0,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084,42.8667,74.5667,1027200.0,,,,,,,,,,,,,,,,,
Vientiane,Laos,,,,,,,,,,,,,,,,1.0,8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,0.634679317,17.9667,102.6,760000.0,,,,,,,,,,,,,,,,,
Antananarivo,Madagascar,,,,,,,,,,,,,,,,1.0,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631,-18.9386,47.5214,2610000.0,,,,,,,,,,,,,,,,,
Ulaanbaatar,Mongolia,,,,,,,,,,,,,,,,1.0,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,47.9203,106.9172,1396288.0,,,,,,,,,,,,,,,,,
Rabat,Morocco,,,,,,,,,,,,,,,,1.0,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,34.0253,-6.8361,1628000.0,,,,,,,,,,,,,,,,,
Maputo,Mozambique,,,,,,,,,,,,,,,,1.0,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102,-25.9153,32.5764,1191613.0,,,,,,,,,,,,,,,,,
Managua,Nicaragua,,,,,,,,,,,,,,,,1.0,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,12.15,-86.2667,1028808.0,,,,,,,,,,,,,,,,,
Dhahran,Saudi Arabia,,,,,,,,,,,,,,,,1.0,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,26.2667,50.15,138135.0,,,,,,,,,,,,,,,,,
Dakar,Senegal,,,,,,,,,,,,,,,,1.0,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,14.7319,-17.4572,1146053.0,,,,,,,,,,,,,,,,,
Bilbao,Spain,,,,,,,,,,,,,,,,1.0,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,43.2622,-2.9533,346843.0,,,,,,,,,,,,,,,,,
Paramaribo,Suriname,,,,,,,,,,,,,,,,1.0,,,,,,,5.8667,-55.1667,223757.0,,,,,,,,,,,,,,,,,
Bern,Switzerland,,,,,,,,,,,,,,,,1.0,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,46.948,7.4474,133798.0,,,,,,,,,,,,,,,,,
Damascus,Syria,,,,,,,,,,,,,,,,1.0,,,,,,,33.5131,36.2919,1754000.0,,,,,,,,,,,,,,,,,
Dushanbe,Tajikistan,,,,,,,,,,,,,,,,1.0,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063,38.5731,68.7864,780000.0,,,,,,,,,,,,,,,,,
Dar es Salaam,Tanzania,,,,,,,,,,,,,,,,1.0,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435,-6.8,39.2833,6698000.0,,,,,,,,,,,,,,,,,
Lomé,Togo,,,,,,,,,,,,,,,,1.0,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464,6.1319,1.2228,837437.0,,,,,,,,,,,,,,,,,
Ashgabat,Turkmenistan,,,,,,,,,,,,,,,,1.0,9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,0.883691847,37.95,58.3833,1031992.0,,,,,,,,,,,,,,,,,
Akron,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.0798,-81.5219,565208.0,,,,,,,,,,,,,,,,,
Allentown,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,40.5961,-75.4756,683794.0,,,,,,,,,,,,,,,,,
Amarillo,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,35.1988,-101.8311,205603.0,,,,,,,,,,,,,,,,,
Asheville,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,35.5704,-82.5536,312507.0,,,,,,,,,,,,,,,,,
Atlantic City,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.3797,-74.4527,237054.0,,,,,,,,,,,,,,,,,
Billings,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,45.7891,-108.5524,120728.0,,,,,,,,,,,,,,,,,
Bismarck,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,46.8144,-100.7694,98345.0,,,,,,,,,,,,,,,,,
Boise,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,43.6007,-116.2312,389280.0,,,,,,,,,,,,,,,,,
Caribou,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,46.8662,-67.9919,7593.0,,,,,,,,,,,,,,,,,
Casper,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,42.842,-106.3207,67598.0,,,,,,,,,,,,,,,,,
Chattanooga,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,35.0657,-85.2488,415501.0,,,,,,,,,,,,,,,,,
Cheyenne,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,41.1351,-104.79,79484.0,,,,,,,,,,,,,,,,,
Colorado Springs,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,38.8674,-104.7606,642413.0,,,,,,,,,,,,,,,,,
Corpus Christi,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,27.726,-97.3755,342464.0,,,,,,,,,,,,,,,,,
El Paso,United States,,,,,,,,,,,,,,,,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,31.8479,-106.4309,843386.0,,,,,,,,,,,,,,,,,
